outbound_no,goods_no,zone_no,aisles_no,cell_no,aisles_seq,locate_qty,goods_volume,goods_weight
O230,12520010,4G,504G-02,4G2433,2583,1,1785564,1.41
O217,12481549,4L,504L-0D,4LD061,2734,1,6995296,5.52
O213,12532619,4G,504G-0A,4GA344,2591,1,193140,0.14
O238,12520010,4G,504G-01,4G1475,2582,1,1785564,1.41
O238,12481549,4L,504L-0D,4LD061,2734,1,6995296,5.52
O233,12520010,4G,504G-0S,4GS744,2609,1,1785564,1.41
O228,12520010,4G,504G-04,4G4105,2585,1,892782,0.705
O211,12710747,4J,504J-0F,4JF535,2666,1,1,0.1
O230,12520010,4G,504G-0S,4GS744,2609,1,1785564,1.41
O212,12738559,4F,504F-0V,4FV081,2577,1,1,0.1
O208,12643906,4G,504G-09,4G9031,2590,1,1,0.1
O220,12840785,4G,504G-02,4G2637,2583,1,598500,0.47
O205,12520010,4G,504G-04,4G4105,2585,1,892782,0.705
O223,12896240,4K,504K-0W,4KW784,2718,1,328440,0.27
O226,13091508,4F,504F-0M,4FM961,2568,2,1,0.1
O216,12130815,4K,504K-0K,4KK253,2706,1,371200,0.1
O228,12368064,4K,504K-0Q,4KQ714,2712,1,591525,0.465
O210,12864809,4K,504K-0V,4KV111,2717,1,134082000,0.26
O225,12520010,4G,504G-04,4G4105,2585,1,892782,0.705
O238,12520010,4G,504G-04,4G4105,2585,1,892782,0.705
O230,12520010,4G,504G-04,4G4105,2585,1,892782,0.705
O240,12813574,4J,504J-0W,4JW582,2683,1,923496,0.47
O238,12520010,4G,504G-0S,4GS744,2609,1,1785564,1.41
O223,13208210,4H,504H-07,4H7867,2623,1,873730,0.14
O235,12733429,4G,504G-0U,4GU813,2611,1,1,0.1
O221,12520010,4G,504G-02,4G2433,2583,1,1785564,1.41
O216,12520010,4G,504G-01,4G1475,2582,1,1785564,1.41
O224,12520010,4G,504G-01,4G1475,2582,1,1785564,1.41
O205,12520010,4G,504G-02,4G2433,2583,1,1785564,1.41
O228,12520010,4G,504G-02,4G2433,2583,1,1785564,1.41
O225,12520010,4G,504G-01,4G1475,2582,1,1785564,1.41
O233,12520010,4G,504G-02,4G2433,2583,1,1785564,1.41
O232,12520010,4G,504G-0S,4GS744,2609,1,1785564,1.41
O227,12520010,4G,504G-0S,4GS744,2609,1,1785564,1.41
O205,12365839,4M,504M-0H,4MH031,2773,1,1,0.1
O221,12520010,4G,504G-0S,4GS744,2609,1,1785564,1.41
O233,12520010,4G,504G-04,4G4105,2585,1,892782,0.705
O230,12367196,4M,504M-0G,4MG031,2772,1,2,0.2
O215,10783805,4H,504H-07,4H7201,2623,1,269136,0.1
O232,12520010,4G,504G-04,4G4105,2585,1,892782,0.705
O201,12704647,4H,504H-01,4H1087,2617,1,313760,0.24
